Cidade
ITAQUIRAI
ITATIAIA - AGULHAS NEGRAS
ITAUBAL
ITIQUIRA
ITIRUCU
ITUIUTABA
ITUMBIARA
ITUPORANGA
ITUVERAVA
IVAI
IVINHEMA
JACAREPAGUA
JACOBINA
JAGUARIBE
JAGUARUANA
JALES
JANUARIA
JAPIRA
JARDIM
JATAI
JEREMOABO
JOACABA
JOAO PESSOA
JOAO PINHEIRO
JOAQUIM TAVORA
JOSE BONIFACIO
JUARA
JUINA
JUIZ DE FORA
JUTI
LABREA
LAGES
LAGOA DA CONFUSAO
LAGOA R.DE FREITAS
LAGOA VERMELHA
LARANJEIRAS DO SUL
LENCOIS
LINHARES
LINS
LUIZ EDUARDO MAGALHAES
LUZIANIA
Laguna - Farol de Santa Marta
MACAE
MACAJUBA
MACAPA
MACAU
MACAUBAS
MACEIO
MACHADO
MAJOR VIEIRA
MAL. CANDIDO RONDON
MANACAPURU
MANAUS
MANHUACU
MANICORE
MANTENA
MARABA
MARACAJU
MARACANA
MARAU
MARECHAL THAUMATURGO
MARIA DA FE
MARIANOPOLIS DO TO
MARILANDIA
MARILIA
MARINGA
MATEIROS
MAUES
MEDICILANDIA
MINA DO PALITO
MINEIROS
MIRANDA
MOCAMBINHO
MOELA
MONTALVANIA
MONTE ALEGRE
MONTE ALEGRE DE GOIAS
MONTE VERDE
MONTEIRO
MONTES CLAROS
MORADA NOVA
MORRETES
MORRINHOS
MOSSORO
MOSTARDAS
MURIAE
NATAL
NHUMIRIM
NIQUELANDIA
NITEROI
NOSSA SENHORA DA GLORIA
NOVA FATIMA
NOVA FRIBURGO - SALINAS
NOVA MARINGA
NOVA PORTEIRINHA (JANAUBA)
NOVA TEBAS
NOVA UBIRATA
NOVA VENECIA
NOVO AIRAO
NOVO ARIPUANA
NOVO HORIZONTE
NOVO REPARTIMENTO
OBIDOS
OEIRAS
OIAPOQUE
OLIVEIRA
OURICURI
OURINHOS
OURO BRANCO
PACAJA
PALMARES
PALMAS
PALMEIRA DAS MISSOES
PALMEIRA DOS INDIOS
PAO DE ACUCAR
PARACATU
PARAGOMINAS
PARANA
PARANAIBA
PARANAPOEMA
PARANATINGA
PARANOA (COOPA-DF)
PARATY
PARAUNA
PARINTINS
PARNAIBA
PARQUE ELDORADO
PARQUE ESTADUAL CHANDLESS
PASSA QUATRO
PASSO FUNDO
PASSOS
PATOS
PATOS DE MINAS
PATROCINIO
PAULISTANA
PAULO AFONSO
PEDRO AFONSO
PEIXE
PETROLINA
PIATA
PICO DO COUTO
PICOS
PILAO ARCADO
PIRACICABA
PIRANHAS
PIRAPORA
PIRES DO RIO
PIRIPIRI
PIUM
PLACAS
PLANALTO
POCO VERDE
POMPEU
PONTA PORA
PONTES E LACERDA
PORANGATU
PORTO ALEGRE - JARDIM BOTANICO
PORTO ALEGRE- BELEM NOVO
PORTO DE MOZ
PORTO ESTRELA
PORTO GRANDE
PORTO MURTINHO
PORTO SEGURO
PORTO VELHO
PORTO WALTER
POSSE
PRADOPOLIS
PREGUICAS
PRESIDENTE FIGUEIREDO
PRESIDENTE KENNEDY
PRESIDENTE PRUDENTE
PRIMAVERA DO LESTE
Paty do Alferes - Avelar
QUARAI
QUEIMADAS
QUERENCIA
QUIXADA
QUIXERAMOBIM
RANCHARIA
RANCHO QUEIMADO
RECIFE
REDENCAO
REGISTRO
REMANSO
RESENDE
RIBEIRA DO AMPARO
RIO BRANCO
RIO BRILHANTE
RIO CLARO
RIO DE JANEIRO - FORTE DE COPACABANA
RIO DE JANEIRO - JACAREPAGUA
RIO DE JANEIRO - VILA MILITAR
RIO DE JANEIRO-MARAMBAIA
RIO DO CAMPO
RIO NEGRINHO
RIO PARDO DE MINAS
RIO SONO
RIO URUBU
RIO VERDE
RONDON DO PARA
RONDONOPOLIS
ROSARIO OESTE
S. G. DA CACHOEIRA
S.J. DO RIO CLARO
SACRAMENTO
SALGUEIRO
SALINAS
SALINOPOLIS
SALTO DO CEU
SALVADOR
SALVADOR (RADIO FAROL)
SANTA CRUZ
SANTA FE DO ARAGUAIA
SANTA MARIA
SANTA MARIA DAS BARREIRAS
SANTA MARIA MADALENA
SANTA RITA DE CASSIA
SANTA ROSA
SANTA ROSA DO TOCANTINS
SANTA TERESA
SANTANA DO ARAGUAIA
SANTANA DO LIVRAMENTO
SANTAREM
SANTIAGO
SANTO ANTONIO DO LESTE
SANTO AUGUSTO
SAO BORJA
SAO CARLOS
SAO FELIX DO ARAGUAIA
SAO FELIX DO XINGU
SAO GABRIEL
SAO GABRIEL DO OESTE
SAO GONCALO
SAO JOAO DEL REI
SAO JOAO DO PIAUI
SAO JOAQUIM
SAO JOSE DO XINGU
SAO JOSE DOS AUSENTES
SAO LUIS
SAO LUIS DO QUITUNDE
SAO LUIZ DO PARAITINGA
SAO LUIZ GONZAGA
SAO MATEUS
SAO MATEUS DO SUL
SAO MIGUEL ARCANJO
SAO MIGUEL DO ARAGUAIA
SAO MIGUEL DO OESTE
SAO PAULO - INTERLAGOS
SAO PAULO - MIRANTE
SAO PEDRO DO PIAUI
SAO RAIMUNDO NONATO
SAO ROMAO
SAO SEBASTIAO
SAO SEBASTIAO DO PARAISO
SAO SIMAO
SAO VICENTE DO SUL
SAPEZAL
SAPUCAIA DO SUL
SAQUAREMA - SAMPAIO CORREIA
SENHOR DO BONFIM
SERAFINA CORREA
SEROPEDICA-ECOLOGIA AGRICOLA
SERRA DOS AIMORES
SERRA DOS CARAJAS
SERRA NOVA DOURADA
SERRA TALHADA
SERRINHA
SETE LAGOAS
SETE QUEDAS
SIDROLANDIA
SILVA JARDIM
SILVANIA
SINOP
SOBRAL
SOLEDADE
SONORA
SORRISO
SOURE
SURUBIM
TANGARA DA SERRA
TARTARUGALZINHO
TAUA
TAUBATE
TEOFILO OTONI
TERESINA
TERESOPOLIS-PARQUE NACIONAL
TEUTONIA
TIANGUA
TIMOTEO
TOME ACU
TORRES
TRES LAGOAS
TRES MARIAS
TRES RIOS
TUCUMA
TUCURUI
TUPA
TUPANCIRETA
TURIACU
UAUA
UBERABA
UBERLANDIA
UNA
UNAI
URUCARA
URUCUI
URUGUAIANA
URUSSANGA
VACARIA
VALENCA
VALENCA DO PIAUI
VALPARAISO
VARGINHA
VENDA NOVA DO IMIGRANTE
VENTANIA
VICOSA
VILA BELA DA SANTISSIMA TRINDADE
VILA VELHA
VILHENA
VITORIA
VITORIA DA CONQUISTA
VOTUPORANGA
XANXERE
XINGUARA
ZE DOCA
