Data;UF;Cidade;Regiao;CodigoEstacao;Latitude;Longitude;Altitude;ArquivoFonte;Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Unnamed: 7;Unnamed: 6
20080630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-06-30;0,0;0,0;890,9;19,9;8,9;3,4;;
20080731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-07-31;0,0;0,0;891,8;19,1;8,5;3,6;;
20080831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-08-31;1,0;0,4;889,6;21,7;9,8;3,6;;
20080930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-09-30;6,0;;;;11,6;;;
20081031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-10-31;9,0;33,0;888,3;24,2;11,3;3,6;;
20081130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-11-30;21,0;211,2;886,5;21,9;9,2;3,0;;
20081231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-12-31;26,0;379,6;886,1;21,1;8,5;3,1;;
20090131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-01-31;21,0;410,8;887,5;21,9;8,8;2,8;;
20090228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-02-28;17,0;382,2;887,4;21,9;9,7;2,5;;
20090331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-03-31;15,0;222,2;887,1;22,3;7,7;2,4;;
20090430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-04-30;16,0;441,2;888,5;20,9;8,5;2,5;;
20090531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-05-31;14,0;34,6;889,6;20,3;8,2;3,2;;
20090630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-06-30;4,0;57,6;890,7;19,5;9,6;3,2;;
20090731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-07-31;0,0;0,0;890,8;20,9;9,5;3,5;;
20090831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-08-31;6,0;78,8;890,2;21,0;10,4;4,1;;
20090930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-09-30;10,0;115,8;889,4;22,8;9,4;3,0;;
20091031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-10-31;24,0;297,4;886,9;21,8;10,7;2,5;;
20091130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-11-30;17,0;363,6;886,8;22,3;;;;
20091231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2009-12-31;26,0;465,2;887,2;21,0;;;;
20100131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-01-31;21,0;163,4;887,9;22,2;;;;
20100228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-02-28;16,0;88,4;887,8;22,8;;;;
20100331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-03-31;17,0;201,0;887,6;22,3;7,8;3,3;;
20100430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-04-30;8,0;34,4;888,8;21,8;8,8;3,5;;
20100531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-05-31;1,0;1,2;889,0;21,7;9,3;3,3;;
20100630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-06-30;1,0;1,2;891,6;19,9;9,4;3,9;;
20100731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-07-31;0,0;0,0;891,5;19,9;10,2;4,6;;
20100831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-08-31;0,0;0,0;891,0;21,0;10,6;4,2;;
20100930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-09-30;1,0;18,2;888,9;23,8;11,4;4,8;;
20101031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-10-31;19,0;190,2;887,2;23,3;11,0;3,2;;
20101130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-11-30;26,0;344,4;886,2;21,3;9,8;3,2;;
20101231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2010-12-31;26,0;583,8;885,0;21,7;9,9;3,1;;
20110131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-01-31;20,0;198,0;886,1;21,7;11,2;3,5;;
20110228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-02-28;20,0;214,4;887,2;21,5;9,2;2,6;;
20110331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-03-31;20,0;103,4;886,7;21,4;8,6;3,2;;
20110430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-04-30;8,0;81,8;888,5;21,7;14,1;3,5;;
20110531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-05-31;5,0;8,6;889,3;20,5;9,4;3,6;;
20110630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-06-30;3,0;8,2;890,3;19,8;9,8;3,6;;
20110731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-07-31;0,0;0,0;890,5;20,3;11,6;4,0;;
20110831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-08-31;0,0;0,0;890,2;22,7;10,2;4,3;;
20110930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-09-30;2,0;4,4;890,0;23,7;12,8;4,7;;
20111031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2011-10-31;21,0;262,4;887,1;21,2;9,9;3,6;;
