Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20250301;01/03/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;118,0;10;22/09/2025
20250301;01/03/2025;Nordeste;NORDESTE;Residencial;Cativo;2.701.007,4;20.141.315;22/09/2025
20250301;01/03/2025;Nordeste;NORDESTE;Residencial;Livre;42,0;2;22/09/2025
20250301;01/03/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;384.247,9;2.575.921;22/09/2025
20250301;01/03/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;81,6;3;22/09/2025
20250301;01/03/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.011,2;805;22/09/2025
20250301;01/03/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;740.314,7;4.060.659;22/09/2025
20250301;01/03/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;125.885,1;574.057;22/09/2025
20250301;01/03/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;196.478,4;804.189;22/09/2025
20250301;01/03/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;7.598.462,3;36.714.753;22/09/2025
20250301;01/03/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.161,3;42;22/09/2025
20250301;01/03/2025;Sul;SUL;Residencial;Cativo;2.975.442,8;11.716.160;22/09/2025
20250301;01/03/2025;Sul;SUL;Residencial;Livre;189,2;8;22/09/2025
20250201;01/02/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.421.075,2;6.489.332;22/09/2025
20250201;01/02/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;74,0;7;22/09/2025
20250201;01/02/2025;Nordeste;NORDESTE;Residencial;Cativo;2.734.992,1;20.108.265;22/09/2025
20250201;01/02/2025;Nordeste;NORDESTE;Residencial;Livre;52,0;2;22/09/2025
20250201;01/02/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;401.715,0;2.571.709;22/09/2025
20250201;01/02/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;72,4;3;22/09/2025
20250201;01/02/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.126,1;792;22/09/2025
20250201;01/02/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;738.332,4;4.052.427;22/09/2025
20250201;01/02/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;125.756,4;582.566;22/09/2025
20250201;01/02/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;202.028,4;802.712;22/09/2025
20250201;01/02/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;7.287.930,0;36.571.628;22/09/2025
20250201;01/02/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.034,4;37;22/09/2025
20250201;01/02/2025;Sul;SUL;Residencial;Cativo;3.076.026,2;11.687.248;22/09/2025
20250201;01/02/2025;Sul;SUL;Residencial;Livre;205,5;8;22/09/2025
20250101;01/01/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.395.598,4;6.477.284;22/09/2025
20250101;01/01/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;40,0;5;22/09/2025
20250101;01/01/2025;Nordeste;NORDESTE;Residencial;Cativo;2.804.362,7;20.073.308;22/09/2025
20250101;01/01/2025;Nordeste;NORDESTE;Residencial;Livre;44,0;2;22/09/2025
20250101;01/01/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;431.372,2;2.572.759;22/09/2025
20250101;01/01/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;80,1;3;22/09/2025
20250101;01/01/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.001,0;773;22/09/2025
20250101;01/01/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;781.115,7;4.065.526;22/09/2025
20250101;01/01/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;136.680,9;580.419;22/09/2025
20250101;01/01/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;200.676,8;799.819;22/09/2025
20250101;01/01/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;7.215.473,9;36.537.442;22/09/2025
20250101;01/01/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;994,8;26;22/09/2025
20250101;01/01/2025;Sul;SUL;Residencial;Cativo;2.669.498,1;11.615.347;22/09/2025
20250101;01/01/2025;Sul;SUL;Residencial;Livre;54,4;4;22/09/2025
20241201;01/12/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.469.983,7;6.474.124;22/09/2025
20241201;01/12/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;40,8;5;22/09/2025
20241201;01/12/2024;Nordeste;NORDESTE;Residencial;Cativo;2.783.319,1;20.097.733;22/09/2025
20241201;01/12/2024;Nordeste;NORDESTE;Residencial;Livre;62,8;2;22/09/2025
20241201;01/12/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;460.187,0;2.581.729;22/09/2025
20241201;01/12/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;66,1;2;22/09/2025
20241201;01/12/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.042,0;784;22/09/2025
20241201;01/12/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;872.003,7;4.009.900;22/09/2025
