Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;249.881,1;3.551;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;62.797,1;29.804;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;903.993,5;1.330;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;298.573,9;64.345;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;58.062,4;667;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.222.217,9;6.569.958;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;168,0;16;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;356.010,8;503.517;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;36.888,2;325;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Comercial;Cativo;588.309,1;1.295.971;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Comercial;Livre;520.832,5;6.964;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Industrial;Cativo;92.236,6;32.398;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Industrial;Livre;1.739.509,6;2.722;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Outros;Cativo;680.831,3;268.553;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Outros;Livre;234.791,7;1.171;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Residencial;Cativo;2.470.194,0;20.390.206;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Residencial;Livre;78,3;4;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Rural;Cativo;429.812,5;981.900;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Rural;Livre;21.187,6;214;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;62.798,8;62.372;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Comercial;Livre;52.684,6;700;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;9.531,2;2.708;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Industrial;Livre;652.944,5;212;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Outros;Cativo;112.807,8;41.097;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Outros;Livre;2.131,2;63;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;452.141,3;2.605.426;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;116,0;4;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Rural;Cativo;31.433,5;121.036;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Rural;Livre;2.408,7;31;22/09/2025
20250701;01/07/2025;Nordeste;SISTEMAS ISOLADOS;Comercial;Cativo;1.079,4;285;22/09/2025
20250701;01/07/2025;Nordeste;SISTEMAS ISOLADOS;Industrial;Cativo;24,0;3;22/09/2025
20250701;01/07/2025;Nordeste;SISTEMAS ISOLADOS;Outros;Cativo;453,4;114;22/09/2025
20250701;01/07/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.003,5;816;22/09/2025
20250701;01/07/2025;Nordeste;SISTEMAS ISOLADOS;Rural;Cativo;4,7;6;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Comercial;Cativo;256.337,7;262.101;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Comercial;Livre;167.600,9;1.716;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Industrial;Cativo;40.501,7;6.983;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Industrial;Livre;1.474.063,2;949;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Outros;Cativo;213.246,4;43.644;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Outros;Livre;32.447,1;272;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;851.558,5;4.159.092;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;4,0;1;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Rural;Cativo;60.105,2;288.890;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Rural;Livre;5.794,8;86;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Comercial;Cativo;42.066,3;42.927;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Industrial;Cativo;5.294,2;603;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Industrial;Livre;4.516,1;1;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Outros;Cativo;41.080,3;13.622;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;129.811,1;599.735;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Rural;Cativo;7.054,3;40.530;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Comercial;Cativo;57.944,7;68.526;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Comercial;Livre;25.862,6;373;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Industrial;Cativo;12.315,9;2.646;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Industrial;Livre;40.914,6;126;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Outros;Cativo;51.054,3;9.683;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Outros;Livre;2.532,9;11;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;195.043,9;816.625;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Rural;Cativo;35.193,8;126.496;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Rural;Livre;119,0;5;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;2.031.950,9;2.733.478;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;1.919.644,6;24.578;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;379.940,0;128.602;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;8.059.705,0;13.697;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;1.219.281,5;304.630;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Livre;584.440,4;1.757;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.379.376,9;36.892.181;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.893,1;68;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;632.226,8;979.425;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Livre;108.897,0;968;22/09/2025
20250701;01/07/2025;Sul;SUL;Comercial;Cativo;830.636,8;1.152.755;22/09/2025
20250701;01/07/2025;Sul;SUL;Comercial;Livre;589.671,5;8.176;22/09/2025
20250701;01/07/2025;Sul;SUL;Industrial;Cativo;314.033,0;226.589;22/09/2025
20250701;01/07/2025;Sul;SUL;Industrial;Livre;2.951.019,4;7.566;22/09/2025
20250701;01/07/2025;Sul;SUL;Outros;Cativo;433.137,1;133.502;22/09/2025
20250701;01/07/2025;Sul;SUL;Outros;Livre;127.478,8;1.555;22/09/2025
20250701;01/07/2025;Sul;SUL;Residencial;Cativo;2.514.666,9;11.792.681;22/09/2025
20250701;01/07/2025;Sul;SUL;Residencial;Livre;365,4;9;22/09/2025
20250701;01/07/2025;Sul;SUL;Rural;Cativo;442.552,0;843.711;22/09/2025
20250701;01/07/2025;Sul;SUL;Rural;Livre;313.421,8;553;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;385.914,9;496.190;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;247.975,7;3.499;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;65.351,8;29.810;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;902.006,2;1.305;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;318.840,9;64.815;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;59.127,6;633;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.266.966,6;6.549.013;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;165,0;15;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;356.600,0;502.320;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;27.972,5;308;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Comercial;Cativo;618.665,1;1.294.666;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Comercial;Livre;548.346,2;6.838;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Industrial;Cativo;93.263,1;32.428;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Industrial;Livre;1.744.002,6;2.660;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Outros;Cativo;711.145,3;267.564;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Outros;Livre;219.114,8;1.150;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Residencial;Cativo;2.504.589,7;20.277.706;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Residencial;Livre;100,6;5;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Rural;Cativo;465.057,8;982.333;22/09/2025
20250601;01/06/2025;Nordeste;NORDESTE;Rural;Livre;22.381,9;211;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;62.184,1;63.614;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Comercial;Livre;51.424,5;684;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;9.347,8;2.685;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Industrial;Livre;637.368,9;207;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Outros;Cativo;114.320,7;41.028;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Outros;Livre;2.081,2;63;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;438.165,5;2.593.810;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;106,5;4;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Rural;Cativo;30.160,6;117.893;22/09/2025
20250601;01/06/2025;Nordeste;NORTE INTERLIGADO;Rural;Livre;2.313,2;31;22/09/2025
20250601;01/06/2025;Nordeste;SISTEMAS ISOLADOS;Comercial;Cativo;1.073,1;280;22/09/2025
20250601;01/06/2025;Nordeste;SISTEMAS ISOLADOS;Industrial;Cativo;23,7;3;22/09/2025
20250601;01/06/2025;Nordeste;SISTEMAS ISOLADOS;Outros;Cativo;492,6;114;22/09/2025
20250601;01/06/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;919,3;793;22/09/2025
20250601;01/06/2025;Nordeste;SISTEMAS ISOLADOS;Rural;Cativo;5,3;6;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Comercial;Cativo;252.270,7;261.687;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Comercial;Livre;159.042,4;1.651;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Industrial;Cativo;39.703,5;6.969;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Industrial;Livre;1.426.653,9;917;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Outros;Cativo;219.702,9;41.011;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Outros;Livre;31.518,6;269;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;837.877,9;4.085.829;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;3,8;1;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Rural;Cativo;51.640,8;229.387;22/09/2025
20250601;01/06/2025;Norte;NORTE INTERLIGADO;Rural;Livre;5.171,7;82;22/09/2025
20250601;01/06/2025;Norte;SISTEMAS ISOLADOS;Comercial;Cativo;41.183,5;42.577;22/09/2025
20250601;01/06/2025;Norte;SISTEMAS ISOLADOS;Industrial;Cativo;5.367,8;603;22/09/2025
20250601;01/06/2025;Norte;SISTEMAS ISOLADOS;Industrial;Livre;4.481,1;1;22/09/2025
20250601;01/06/2025;Norte;SISTEMAS ISOLADOS;Outros;Cativo;41.286,0;13.211;22/09/2025
20250601;01/06/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;125.528,8;577.539;22/09/2025
20250601;01/06/2025;Norte;SISTEMAS ISOLADOS;Rural;Cativo;6.663,3;34.658;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Comercial;Cativo;60.752,9;68.640;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Comercial;Livre;25.563,9;363;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Industrial;Cativo;12.765,9;2.672;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Industrial;Livre;39.119,6;120;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Outros;Cativo;53.717,0;9.737;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Outros;Livre;2.360,1;11;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;205.127,2;813.167;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Rural;Cativo;34.562,1;126.469;22/09/2025
20250601;01/06/2025;Norte;SUDESTE / CENTRO - OESTE;Rural;Livre;129,7;5;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;2.115.814,8;2.733.098;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;2.018.239,9;24.053;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;396.042,6;129.022;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;7.999.055,7;13.402;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;1.239.986,9;303.897;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Livre;596.976,8;1.628;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.117.895,0;36.801.242;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.484,7;52;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;634.845,6;974.193;22/09/2025
20250601;01/06/2025;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Livre;122.654,8;1.015;22/09/2025
20250601;01/06/2025;Sul;SUL;Comercial;Cativo;843.537,4;1.151.154;22/09/2025
20250601;01/06/2025;Sul;SUL;Comercial;Livre;550.308,7;7.984;22/09/2025
20250601;01/06/2025;Sul;SUL;Industrial;Cativo;319.399,3;226.362;22/09/2025
20250601;01/06/2025;Sul;SUL;Industrial;Livre;2.860.105,4;7.403;22/09/2025
20250601;01/06/2025;Sul;SUL;Outros;Cativo;429.891,8;132.815;22/09/2025
20250601;01/06/2025;Sul;SUL;Outros;Livre;121.887,4;1.483;22/09/2025
20250601;01/06/2025;Sul;SUL;Residencial;Cativo;2.358.638,4;11.771.336;22/09/2025
20250601;01/06/2025;Sul;SUL;Residencial;Livre;374,6;8;22/09/2025
20250601;01/06/2025;Sul;SUL;Rural;Cativo;445.187,7;842.627;22/09/2025
20250601;01/06/2025;Sul;SUL;Rural;Livre;326.160,6;546;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;413.945,6;497.237;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;255.473,3;3.386;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;66.749,6;29.938;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;887.884,7;1.270;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;337.523,1;64.654;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;58.881,0;567;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.400.977,7;6.535.644;22/09/2025
20250501;01/05/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;139,0;12;22/09/2025
