MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao
2005-02;Centro-Oeste;511087,2;123,0;762,0;954,28;25,30909090909091;5,963636363636363;1,77;verão
2005-02;Nordeste;1132479,4;250,0;828,4;986,7681818181819;26,638095238095236;8,018181818181818;2,9857142857142858;verão
2005-02;Norte;336135,2;46,0;0,0;1005,65;26,1;6,800000000000001;1,45;verão
2005-02;Sudeste;3616966,9;171,0;979,4;947,8076923076923;23,586666666666666;5,9071428571428575;1,8692307692307693;verão
2005-02;Sul;1161664,3;34,0;290,8;986,6666666666666;24,7;6,566666666666666;2,3333333333333335;verão
2005-03;Centro-Oeste;520203,2;172,0;1979,2;956,3;24,816666666666666;6,233333333333333;1,6272727272727272;outono
2005-03;Nordeste;1137173,9;294,0;2716,6;987,4043478260869;26,395652173913046;7,283333333333334;2,4909090909090907;outono
2005-03;Norte;341724,5;56,0;789,4000000000001;1007,3;26,0;5,75;1,4;outono
2005-03;Sudeste;3711050,5;224,0;1977,6;948,323076923077;23,773333333333333;7,257142857142857;1,8615384615384616;outono
2005-03;Sul;1155063,5;40,0;402,8;987,7666666666668;23,666666666666668;7,033333333333334;2,3000000000000003;outono
2005-04;Centro-Oeste;531746,5;97,0;464,4;955,5999999999999;24,966666666666665;5,88;1,7999999999999998;outono
2005-04;Nordeste;1145853,6;349,0;2258,8;988,1299999999999;25,282608695652176;7,348;2,5105263157894737;outono
2005-04;Norte;350369,2;53,0;356,79999999999995;1006,95;25,9;6,1;1,3;outono
2005-04;Sudeste;3923735,0;126,0;879,4;953,5333333333333;23,25714285714286;5,623076923076923;1,7;outono
2005-04;Sul;1180033,9;32,0;179,0;978,6;27,1;8,833333333333334;1,7;outono
2005-05;Centro-Oeste;505927,3;26,0;51,2;952,311111111111;23,7;6,459999999999999;1,9666666666666666;outono
2005-05;Nordeste;1118875,8;360,0;1763,3999999999999;983,8190476190476;24,588461538461537;7,236000000000001;2,9571428571428573;outono
2005-05;Norte;338681,0;26,0;0,0;1005,4;25,9;4,75;1,8;outono
2005-05;Sudeste;3655561,3;145,0;831,6;951,3846153846154;20,67142857142857;6,084615384615384;1,8692307692307693;outono
2005-05;Sul;1099102,0;36,0;46,2;995,3499999999999;20,333333333333332;6,45;1,5;outono
2005-06;Centro-Oeste;517429,1;26,0;100,80000000000001;953,6111111111111;22,755555555555556;5,811111111111111;1,9888888888888887;inverno
2005-06;Nordeste;1071456,8;390,0;3193,2;991,0666666666667;23,69090909090909;7,613043478260869;2,884210526315789;inverno
2005-06;Norte;352715,7;21,0;142,8;1006,3;26,3;4,3;2,1;inverno
2005-06;Sudeste;3710837,3;150,0;561,0;954,7583333333333;19,599999999999998;5,885714285714286;1,7666666666666666;inverno
2005-06;Sul;1124218,9;55,0;137,4;977,1600000000001;20,080000000000002;8,06;2,25;inverno
2005-07;Centro-Oeste;501666,5;6,0;19,8;955,4333333333333;22,400000000000002;6,366666666666666;2,1888888888888887;inverno
