Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2025-08-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2021-02-28;25;265,6;1005,3;25,7;4,1;,1;
2021-03-31;31;220,4;1005,8;25,3;4,8;,1;
2021-04-30;25;null;1005,5;26;7,6;,2;
2021-05-31;21;null;1007;26;5,9;,1;
2021-06-30;null;null;null;null;4,5;null;
2021-07-31;6;null;null;null;5,2;null;
2021-08-31;2;null;null;null;3,3;null;
2021-09-30;4;null;null;null;4,2;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;7;null;null;null;4,5;null;
2022-01-31;27;451,2;1005,9;25,4;4,7;,1;
2022-02-28;13;null;null;26,1;4,3;null;
2022-03-31;15;null;null;25,5;5,7;null;
2022-04-30;16;null;null;25,5;4,9;null;
2022-05-31;15;null;null;25,6;6,9;null;
2022-06-30;2;null;null;null;6,1;null;
2022-07-31;null;null;null;null;4,9;null;
2022-08-31;null;null;null;null;7,7;null;
2022-09-30;null;null;null;null;5,2;null;
2022-10-31;null;null;null;null;6,1;null;
2022-11-30;null;null;null;null;4,4;null;
2022-12-31;null;null;null;null;6,6;null;
2023-01-31;6;null;null;null;5,2;null;
2023-02-28;26;357;1005,9;25,4;5,9;,3;
2023-03-31;5;null;null;null;4,7;null;
2023-04-30;13;null;null;null;4,5;null;
2023-05-31;25;228,8;1006,5;26,6;5,5;,3;
2023-06-30;8;null;null;null;4,5;null;
2023-07-31;5;null;null;null;5,1;null;
2023-08-31;null;null;null;null;3,9;null;
2023-09-30;9;62,4;1006,2;28,1;5,2;,9;
2023-10-31;6;70,6;1005,2;28,4;7;,9;
2023-11-30;12;81,8;1004,9;28,4;4,8;,6;
2023-12-31;22;237;1004,9;27,3;5,3;,4;
2024-01-31;27;391,8;1006,4;26,8;5,9;,3;
2024-02-29;26;456;1006,5;26,4;5,7;,3;
2024-03-31;27;426,8;1006,1;26,5;5,1;,2;
2024-04-30;29;381,8;1005,6;26,6;6,4;,2;
2024-05-31;27;329;1005,8;26,9;6,1;,2;
2024-06-30;18;179,8;1007;27,2;5,4;,3;
2024-07-31;13;72;1008,3;27,8;6;,3;
2024-08-31;10;64;1007,8;27,8;4,1;,3;
2024-09-30;5;26,8;1006,2;28,4;5,4;1;
2024-10-31;3;41,8;1005,8;28,4;5,4;,9;
2024-11-30;4;6,2;1004,4;28,7;5,8;1,2;
2024-12-31;22;239,4;1004,7;27,4;5,3;,6;
2025-01-31;27;281,8;1005,9;26,2;7;,3;
2025-02-28;28;450,2;1005,5;25,7;5,4;,3;
2025-03-31;28;548,6;1006,3;25,9;5,8;,3;
2025-04-30;23;374,8;1005,7;26,1;4,6;,3;
2025-05-31;26;311,4;1006,8;26,6;4,5;,3;
2025-06-30;24;181,2;1007,7;26,5;4,2;,3;
2025-07-31;22;262,4;1008,8;26,7;4,4;,2;
2025-08-31;22;124;1008,1;26,8;8,4;,4;

